Resolver	Tranco_num	Malicious_num	Malicious_same	Malicious_diff_rcode	Malicious_diff_a_pdns	Malicious_diff_a_private	Malicious_diff_a_self_sinkhole
92.115.182.10	48	4994	3518	102	1374	1355	14	0	
92.82.192.233	48	4960	3434	145	1381	0	0	0	
92.42.218.173	47	4768	3273	1389	106	88	13	0	
94.74.222.134	48	4963	3330	1440	193	0	11	0	
93.91.145.238	49	4986	1675	1455	1856	0	2	0	
93.42.89.47	48	4979	3499	1411	69	0	13	0	
92.115.102.133	49	4987	3516	963	508	488	15	0	
92.62.239.204	47	4961	3440	1360	161	0	13	0	
93.119.163.80	48	4969	3495	103	1371	1354	12	0	
93.116.9.126	47	4980	3505	102	1373	1355	13	0	
93.91.150.239	49	4992	1686	1456	1850	0	1	0	
93.115.136.182	48	4975	3512	856	607	590	12	0	
93.119.150.243	48	4965	3480	106	1379	1354	14	0	
93.42.140.151	42	4216	1905	942	1369	0	0	0	
92.115.144.103	47	4954	3471	106	1377	1350	14	0	
92.115.109.51	48	4972	3484	108	1380	1354	13	0	
93.116.231.250	49	4996	3519	102	1375	1355	15	0	
94.127.59.11	49	4827	3259	1442	126	0	14	0	
92.86.100.25	49	4986	3474	146	1366	0	13	0	
92.85.74.66	48	4981	3515	290	1176	0	15	0	
92.86.27.77	49	4981	3473	145	1363	0	13	0	
93.113.67.215	48	4977	3508	984	485	466	14	0	
92.86.249.214	47	4963	3455	146	1362	0	12	0	
93.116.56.129	48	4967	3493	102	1372	1355	12	0	
93.116.223.198	49	4991	3527	1027	437	419	13	0	
93.116.227.63	49	4979	3502	102	1375	1355	15	0	
92.114.157.166	48	4978	3504	102	1372	1355	12	0	
93.116.83.178	49	4963	3492	101	1370	1353	12	0	
93.119.140.251	47	4987	3511	102	1374	1355	14	0	
92.86.193.247	49	4975	3461	146	1368	0	15	0	
93.116.49.147	48	4977	3515	1101	361	342	14	0	
92.49.11.113	49	4989	3323	1432	234	0	13	0	
92.115.182.18	47	4956	3490	974	492	473	14	0	
92.86.27.81	47	4741	3270	142	1329	0	11	0	
92.115.150.136	46	4961	3487	105	1369	1352	12	0	
94.142.51.68	45	4865	3369	101	1395	0	2	0	
92.114.165.16	47	4976	3490	107	1379	1354	13	0	
93.42.96.198	48	4970	3482	1395	93	0	12	0	
92.82.163.249	49	4936	3381	191	1364	0	13	0	
92.114.156.107	48	4971	3493	104	1374	1355	14	0	
92.115.144.58	47	4964	3489	101	1374	1355	14	0	
92.82.192.249	47	4931	3457	128	1346	0	13	0	
94.127.63.15	47	4976	3242	1577	157	0	13	0	
93.116.223.82	47	4972	3495	103	1374	1355	14	0	
92.86.101.164	49	4931	3436	126	1369	0	1	0	
94.177.204.69	48	4967	3431	1425	111	93	13	0	
92.115.109.22	48	4963	3501	1029	433	414	14	0	
94.74.106.164	48	4978	3463	1442	73	55	13	0	
92.86.27.85	48	4958	3439	142	1377	0	1	0	
93.117.74.36	47	4971	3501	101	1369	1350	14	0	
93.113.84.213	47	4942	3480	102	1360	1344	11	0	
93.116.83.126	47	4958	3485	102	1371	1353	13	0	
93.116.67.208	44	4580	3195	93	1292	1264	15	0	
92.115.107.127	48	4973	3497	104	1372	1355	12	0	
93.116.254.10	49	4971	3494	103	1374	1355	14	0	
92.115.42.59	48	4975	3500	102	1373	1355	13	0	
92.237.78.23	49	4972	2411	1256	1305	0	1	0	
94.127.59.10	49	4972	3243	1602	127	0	13	0	
92.115.73.126	49	4983	3506	104	1373	1355	13	0	
94.177.179.144	48	4954	3443	1387	124	0	11	0	
92.114.157.51	48	4969	3504	1106	359	342	12	0	
92.115.171.85	47	4944	3471	218	1255	1237	13	0	
93.119.234.185	47	4970	3496	101	1373	1355	13	0	
92.86.193.224	49	4985	3473	146	1366	0	14	0	
93.116.137.56	46	4960	3474	107	1379	1352	13	0	
94.127.63.12	49	4991	3247	1619	125	0	13	0	
92.115.254.118	48	4980	3504	101	1375	1355	15	0	
92.115.107.75	49	4976	3501	103	1372	1355	12	0	
92.115.246.146	49	4975	3501	102	1372	1355	12	0	
94.127.59.13	48	4976	3247	1600	129	0	15	0	
92.86.27.76	48	4948	3462	129	1357	0	14	0	
92.114.187.42	48	4972	3498	101	1373	1355	13	0	
93.84.84.173	49	4963	2441	999	1523	0	2	0	
92.114.130.21	48	4972	3497	101	1374	1355	14	0	
93.116.8.111	47	4982	3508	101	1373	1354	14	0	
93.91.147.18	49	4974	3320	1435	219	0	11	0	
